iter	Passed	Remaining
882	2247	297
883	2249	295
884	2251	292
885	2254	290
886	2256	287
887	2258	284
888	2261	282
889	2263	279
890	2265	277
891	2268	274
892	2270	272
893	2272	269
894	2275	266
895	2277	264
896	2279	261
897	2281	259
898	2283	256
899	2285	253
900	2288	251
901	2290	248
902	2292	246
903	2294	243
904	2296	241
905	2298	238
906	2301	235
907	2303	233
908	2305	230
909	2307	228
910	2309	225
911	2312	223
912	2314	220
913	2316	217
914	2318	215
915	2320	212
916	2323	210
917	2325	207
918	2327	205
919	2329	202
920	2331	200
921	2334	197
922	2336	194
923	2338	192
924	2340	189
925	2342	187
926	2344	184
927	2347	182
928	2349	179
929	2351	176
930	2353	174
931	2356	171
932	2358	169
933	2360	166
934	2362	164
935	2365	161
936	2367	159
937	2370	156
938	2372	154
939	2374	151
940	2376	149
941	2379	146
942	2381	143
943	2383	141
944	2386	138
945	2388	136
946	2390	133
947	2393	131
948	2395	128
949	2397	126
950	2400	123
951	2402	121
952	2405	118
953	2408	116
954	2410	113
955	2413	111
956	2415	108
957	2417	105
958	2419	103
959	2422	100
960	2424	98
961	2426	95
962	2428	93
963	2430	90
964	2433	88
965	2435	85
966	2437	83
967	2439	80
968	2442	78
969	2444	75
970	2446	73
971	2449	70
972	2451	68
973	2453	65
974	2455	62
975	2457	60
976	2459	57
977	2461	55
978	2464	52
979	2466	50
980	2468	47
981	2470	45
982	2473	42
983	2475	40
984	2477	37
985	2479	35
986	2481	32
987	2484	30
988	2486	27
989	2488	25
990	2491	22
991	2493	20
992	2495	17
993	2498	15
994	2500	12
995	2502	10
996	2505	7
997	2507	5
998	2509	2
999	2511	0
